FAM	D	T	L
fix_2661_c60_lg_combined.ale.uml_rec	1e-06	0.59172	0.526363
fix_5029_c60_lg_combined.ale.uml_rec	1.0818	7.84894e-06	0.45921
fix_512_c60_lg_combined.ale.uml_rec	0.0294173	0.166836	0.267798
fix_3098_c60_lg_combined.ale.uml_rec	0.496601	0.471744	0.816926
fix_4972_c60_lg_combined.ale.uml_rec	0.419315	0.538705	0.920079
fix_5117_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_2567_c60_lg_combined.ale.uml_rec	1.66064e-06	0.140541	0.130894
fix_614_c60_lg_combined.ale.uml_rec	0.553567	0.143017	0.490583
fix_5211_c60_lg_combined.ale.uml_rec	1.08257	1e-06	0.452965
fix_2459_c60_lg_combined.ale.uml_rec	1e-06	0.748812	0.518184
fix_3918_c60_lg_combined.ale.uml_rec	0.275825	1e-06	0.315937
fix_3784_c60_lg_combined.ale.uml_rec	1e-06	1.28901e-05	0.125788
fix_29_c60_lg_combined.ale.uml_rec	0.450839	0.270243	0.55354
fix_330_c60_lg_combined.ale.uml_rec	0.225988	0.418735	0.466373
fix_3826_c60_lg_combined.ale.uml_rec	0.318957	0.701992	0.843503
fix_1853_c60_lg_combined.ale.uml_rec	0.165601	0.397829	0.608021
fix_2043_c60_lg_combined.ale.uml_rec	0.452549	0.372317	0.40155
fix_5433_c60_lg_combined.ale.uml_rec	0.829129	0.292693	0.709155
fix_3482_c60_lg_combined.ale.uml_rec	0.329828	0.595702	0.863554
fix_108_c60_lg_combined.ale.uml_rec	0.0251738	0.0890877	0.094189
fix_2345_c60_lg_combined.ale.uml_rec	1e-06	0.0845332	1e-06
fix_3078_c60_lg_combined.ale.uml_rec	0.554016	0.156383	0.236463
fix_4630_c60_lg_combined.ale.uml_rec	1.12332	1e-06	0.515811
fix_2681_c60_lg_combined.ale.uml_rec	0.790791	1e-06	0.562028
fix_1133_c60_lg_combined.ale.uml_rec	1.03854	1e-06	0.110388
fix_2923_c60_lg_combined.ale.uml_rec	0.00154196	0.174635	0.415536
fix_3146_c60_lg_combined.ale.uml_rec	1.76097e-05	0.218897	0.292595
fix_4992_c60_lg_combined.ale.uml_rec	1e-06	0.16758	1e-06
fix_4536_c60_lg_combined.ale.uml_rec	1e-06	0.453015	0.682393
fix_868_c60_lg_combined.ale.uml_rec	1e-06	0.0544456	0.131844
fix_2587_c60_lg_combined.ale.uml_rec	0.626725	1e-06	0.00147991
fix_1235_c60_lg_combined.ale.uml_rec	0.192543	0.424196	0.328996
fix_956_c60_lg_combined.ale.uml_rec	1e-06	0.659038	0.604223
fix_4408_c60_lg_combined.ale.uml_rec	0.000170269	0.279632	0.743188
fix_3240_c60_lg_combined.ale.uml_rec	0.252445	0.379853	0.305678
fix_3764_c60_lg_combined.ale.uml_rec	0.229766	0.185422	0.593844
fix_1711_c60_lg_combined.ale.uml_rec	1e-06	0.288157	0.394979
fix_4012_c60_lg_combined.ale.uml_rec	0.905382	0.228036	0.522103
fix_3462_c60_lg_combined.ale.uml_rec	1e-06	0.19519	0.644548
fix_1417_c60_lg_combined.ale.uml_rec	0.926059	0.103486	0.518838
fix_1529_c60_lg_combined.ale.uml_rec	0.0923747	0.127936	0.558892
fix_4314_c60_lg_combined.ale.uml_rec	0.42935	0.586528	0.9594
fix_3207_c60_lg_combined.ale.uml_rec	1.06353	1e-06	0.275812
fix_911_c60_lg_combined.ale.uml_rec	1e-06	0.33953	0.46621
fix_1272_c60_lg_combined.ale.uml_rec	0.000153938	0.141746	0.172967
fix_5388_c60_lg_combined.ale.uml_rec	0.000125077	0.00484238	0.47051
fix_4571_c60_lg_combined.ale.uml_rec	1e-06	0.293302	0.55636
fix_3339_c60_lg_combined.ale.uml_rec	1e-06	0.12669	1e-06
fix_3101_c60_lg_combined.ale.uml_rec	0.281938	0.374302	0.392661
fix_2964_c60_lg_combined.ale.uml_rec	1e-06	0.530733	0.546611
fix_1174_c60_lg_combined.ale.uml_rec	0.29004	0.594401	0.594514
fix_4677_c60_lg_combined.ale.uml_rec	0.276194	1e-06	0.58947
fix_4353_c60_lg_combined.ale.uml_rec	0.418048	0.580446	0.935217
fix_5494_c60_lg_combined.ale.uml_rec	1.10094	1.41103e-05	0.498659
fix_1450_c60_lg_combined.ale.uml_rec	0.335014	0.32328	0.393479
fix_3425_c60_lg_combined.ale.uml_rec	1e-06	0.753976	0.825446
fix_397_c60_lg_combined.ale.uml_rec	0.190879	0.195763	0.400577
fix_3881_c60_lg_combined.ale.uml_rec	1e-06	0.125099	1e-06
fix_4055_c60_lg_combined.ale.uml_rec	1.06512	1e-06	0.334533
fix_1668_c60_lg_combined.ale.uml_rec	0.000757097	0.272894	0.327915
fix_1756_c60_lg_combined.ale.uml_rec	1.04106	1e-06	0.154236
fix_3723_c60_lg_combined.ale.uml_rec	1e-06	0.137342	0.434996
fix_1292_c60_lg_combined.ale.uml_rec	1e-06	0.475158	0.475926
fix_5256_c60_lg_combined.ale.uml_rec	0.442083	8.93655e-06	0.0970607
fix_4591_c60_lg_combined.ale.uml_rec	0.000322517	0.480495	0.42355
fix_653_c60_lg_combined.ale.uml_rec	0.213512	0.341156	0.470949
fix_5368_c60_lg_combined.ale.uml_rec	1e-06	0.166408	1e-06
fix_2520_c60_lg_combined.ale.uml_rec	3.16074e-05	0.530197	0.445884
fix_2718_c60_lg_combined.ale.uml_rec	1.2211e-05	0.000407821	0.130706
fix_5150_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_1194_c60_lg_combined.ale.uml_rec	0.289724	0.360056	0.471148
fix_2984_c60_lg_combined.ale.uml_rec	1e-06	0.108635	0.180714
fix_4935_c60_lg_combined.ale.uml_rec	1e-06	0.873443	0.932106
fix_4697_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_555_c60_lg_combined.ale.uml_rec	0.197664	0.325446	0.551934
fix_2626_c60_lg_combined.ale.uml_rec	0.00146309	1e-06	0.243199
fix_2302_c60_lg_combined.ale.uml_rec	3.14304e-05	0.0858979	0.106522
fix_5474_c60_lg_combined.ale.uml_rec	0.821234	0.29265	0.801393
fix_2004_c60_lg_combined.ale.uml_rec	1.69344e-06	0.253894	1e-06
fix_1688_c60_lg_combined.ale.uml_rec	0.803039	0.0944108	1e-06
fix_1814_c60_lg_combined.ale.uml_rec	1e-06	0.372677	0.496534
fix_3861_c60_lg_combined.ale.uml_rec	0.753623	1e-06	0.74969
fix_377_c60_lg_combined.ale.uml_rec	0.864905	0.000392565	0.000212523
fix_249_c60_lg_combined.ale.uml_rec	0.00185115	0.241014	0.344846
fix_227_c60_lg_combined.ale.uml_rec	1e-06	0.369689	0.353265
fix_3931_c60_lg_combined.ale.uml_rec	1.06512	1e-06	0.334533
fix_1944_c60_lg_combined.ale.uml_rec	1e-06	0.519251	0.60951
fix_3693_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.224215
fix_319_c60_lg_combined.ale.uml_rec	0.0786706	0.242592	0.334233
fix_121_c60_lg_combined.ale.uml_rec	0.156923	0.331428	0.367661
fix_2252_c60_lg_combined.ale.uml_rec	1.04479	3.69526e-05	0.19309
fix_3595_c60_lg_combined.ale.uml_rec	0.608776	0.195371	1e-06
fix_4865_c60_lg_combined.ale.uml_rec	1e-06	0.864314	0.936982
fix_2648_c60_lg_combined.ale.uml_rec	1e-06	0.296752	0.581496
fix_5000_c60_lg_combined.ale.uml_rec	1e-06	0.950694	0.905022
fix_2776_c60_lg_combined.ale.uml_rec	1e-06	0.403722	0.559016
fix_405_c60_lg_combined.ale.uml_rec	3.61155e-05	0.21313	0.150047
fix_5306_c60_lg_combined.ale.uml_rec	1.12332	1e-06	0.515811
