FAM	D	T	L
cy41HOG000122278.ale.uml_rec	1e-06	0.60703	0.858096
cy41HOG000130721.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000054727.ale.uml_rec	1e-06	1e-06	0.221086
cy41HOG000040465.ale.uml_rec	3.44647e-06	0.0397421	0.0978633
cy41HOG000054277.ale.uml_rec	0.439646	0.486385	0.313532
cy41HOG000233565.ale.uml_rec	1e-06	1e-06	0.193331
cy41HOG000057872.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000081053.ale.uml_rec	1.08522	1e-06	1.2553
cy41HOG000232627.ale.uml_rec	1e-06	0.138436	0.311307
cy41HOG000003227.ale.uml_rec	0.110407	1e-06	0.415901
cy41HOG000022992.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000232848.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000132559.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000006506.ale.uml_rec	0.0153013	0.0586354	0.0597207
cy41HOG000037332.ale.uml_rec	1e-06	0.168407	1e-06
cy41HOG000058358.ale.uml_rec	1e-06	1e-06	7.4279e-06
cy41HOG000024079.ale.uml_rec	1e-06	0.554056	1.0806
cy41HOG000006056.ale.uml_rec	4.11476e-06	0.122736	0.183198
cy41HOG000023070.ale.uml_rec	1.13634	1e-06	0.78933
cy41HOG000054948.ale.uml_rec	1e-06	0.248159	1e-06
cy41HOG000058608.ale.uml_rec	1e-06	0.126991	1e-06
cy41HOG000012592.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000035303.ale.uml_rec	1.59179e-05	1e-06	0.513631
cy41HOG000139636.ale.uml_rec	5.25585e-05	0.00576988	0.46612
cy41HOG000035653.ale.uml_rec	0.812449	0.29495	0.773988
cy41HOG000234275.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000220467.ale.uml_rec	1.80712e-05	0.0783182	0.46186
cy41HOG000276775.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036906.ale.uml_rec	1e-06	1e-06	0.720835
cy41HOG000015154.ale.uml_rec	0.000844761	0.769854	1.0008
cy41HOG000069275.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000023239.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000058111.ale.uml_rec	1e-06	1e-06	0.433333
cy41HOG000069725.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036769.ale.uml_rec	1.08827	1e-06	0.373294
cy41HOG000216695.ale.uml_rec	1e-06	0.628548	1.14158
cy41HOG000127710.ale.uml_rec	0.165272	1e-06	1e-06
cy41HOG000132710.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036899.ale.uml_rec	5.74838e-06	0.0515782	0.203877
cy41HOG000088026.ale.uml_rec	3.79035e-05	0.744463	1.16928
cy41HOG000131218.ale.uml_rec	1e-06	1e-06	0.463538
cy41HOG000276617.ale.uml_rec	1e-06	1e-06	0.111237
cy41HOG000036864.ale.uml_rec	1e-06	0.0791036	0.19748
cy41HOG000069828.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000094628.ale.uml_rec	0.006667	1e-06	0.618519
cy41HOG000036794.ale.uml_rec	0.571316	1e-06	0.794088
cy41HOG000035261.ale.uml_rec	1.86513e-05	0.253404	0.257478
cy41HOG000069288.ale.uml_rec	0.165272	1e-06	1e-06
cy41HOG000130595.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000054593.ale.uml_rec	1e-06	0.0625109	0.309388
cy41HOG000018694.ale.uml_rec	0.642832	0.427359	0.898345
cy41HOG000127672.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000276788.ale.uml_rec	1e-06	1e-06	0.10965
cy41HOG000132672.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233821.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000094847.ale.uml_rec	1e-06	0.752734	1.17152
cy41HOG000234288.ale.uml_rec	1e-06	1e-06	0.0911193
cy41HOG000127982.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000058073.ale.uml_rec	0.631127	0.415734	0.95476
cy41HOG000037019.ale.uml_rec	0.438615	1e-06	0.836296
cy41HOG000069647.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232493.ale.uml_rec	1e-06	0.0311253	0.0361723
cy41HOG000069317.ale.uml_rec	6.16996e-06	0.181184	0.414633
cy41HOG000233281.ale.uml_rec	1e-06	1e-06	0.384034
cy41HOG000057910.ale.uml_rec	0.614748	1e-06	0.723127
cy41HOG000233157.ale.uml_rec	0.230585	0.0441834	0.540148
cy41HOG000232745.ale.uml_rec	1e-06	1e-06	1e-06
